Hotel Name,Location,Price per Night (USD),Amenities,Category,Rating,Number of Reviews,Room Type,Meal Plan,Distance to Landmark,Country
Ocean View Retreat,Phuket,82,"Spa, Parking, Restaurant",Beach Resort,3.6,1827,Family Room,Breakfast Only,3 km from Beach,Thailand
City Lights Inn,Goa,96,"Pool, Gym, Pet-friendly, Restaurant, Beach Access",Boutique Hotel,4.8,1055,Deluxe Suite,Full Board,1 km from City Center,India
Riverbend Hotel,Cape Town,245,"Bar, Pool, Airport Shuttle, Restaurant",Luxury Resort,4.9,809,Single,Full Board,2 km from Museum,South Africa
Skyline Suites,Dubai,497,"Pet-friendly, Spa, Gym, Beach Access, Parking, Airport Shuttle",Mountain Lodge,3.4,833,Family Room,Half Board,11 km from Museum,UAE
Palm Grove Lodge,Goa,55,"Pet-friendly, Pool, Beach Access, Parking",Beach Resort,4.4,1852,Family Room,Half Board,6 km from Shopping Mall,India
Lakeside Haven,Phuket,409,"Spa, Pool, Beach Access",Beach Resort,5.0,1011,Suite,Half Board,7 km from Beach,Thailand
Palm Grove Lodge,Bali,307,"Spa, Restaurant, Pet-friendly",Beach Resort,3.4,1630,Single,Full Board,3 km from Shopping Mall,Indonesia
Golden Sands Resort,Phuket,272,"Airport Shuttle, Pool, Restaurant, Bar, Beach Access, Gym",City Hotel,4.2,1870,Family Room,All Inclusive,12 km from Museum,Thailand
Riverbend Hotel,Bali,332,"Gym, Free WiFi, Pool, Airport Shuttle, Spa",City Hotel,3.4,543,Deluxe Suite,All Inclusive,8 km from Museum,Indonesia
Palm Grove Lodge,Bali,356,"Gym, Pet-friendly, Restaurant, Beach Access, Pool",City Hotel,3.9,892,Deluxe Suite,Half Board,1 km from Airport,Indonesia
Mountain Escape,Phuket,375,"Restaurant, Airport Shuttle, Free WiFi, Beach Access, Spa, Pet-friendly",Boutique Hotel,3.9,1651,Double,Full Board,14 km from Museum,Thailand
Riverbend Hotel,Sydney,169,"Pet-friendly, Beach Access, Airport Shuttle, Free WiFi, Parking, Restaurant",Mountain Lodge,4.1,243,Suite,Full Board,2 km from City Center,Australia
Palm Grove Lodge,Bali,305,"Free WiFi, Restaurant, Pet-friendly, Parking, Beach Access, Spa",Mountain Lodge,3.7,1356,Suite,Full Board,14 km from City Center,Indonesia
Skyline Suites,Sydney,69,"Airport Shuttle, Parking, Pet-friendly, Pool, Free WiFi, Gym",Boutique Hotel,3.8,505,Family Room,Breakfast Only,7 km from Airport,Australia
Sunset Paradise,Paris,472,"Parking, Restaurant, Gym, Free WiFi, Pool, Bar",Beach Resort,3.4,1458,Suite,Breakfast Only,7 km from Beach,France
Sunset Paradise,Phuket,172,"Pool, Pet-friendly, Beach Access, Restaurant",Beach Resort,3.6,928,Suite,Breakfast Only,2 km from Airport,Thailand
Palm Grove Lodge,Dubai,424,"Gym, Airport Shuttle, Pet-friendly",Luxury Resort,3.3,1582,Family Room,Breakfast Only,7 km from Airport,UAE
Mountain Escape,Goa,248,"Pool, Spa, Pet-friendly, Gym",Beach Resort,4.8,1708,Single,Breakfast Only,2 km from City Center,India
Palm Grove Lodge,Dubai,252,"Free WiFi, Airport Shuttle, Pool",Luxury Resort,3.4,1269,Single,Half Board,6 km from Beach,UAE
Palm Grove Lodge,Phuket,381,"Gym, Parking, Restaurant, Airport Shuttle, Free WiFi",Luxury Resort,4.5,1706,Family Room,Breakfast Only,20 km from Shopping Mall,Thailand
Lakeside Haven,New York,63,"Restaurant, Gym, Pet-friendly, Free WiFi, Spa, Parking",City Hotel,4.4,1733,Deluxe Suite,Half Board,17 km from Airport,USA
Coastal Breeze,Phuket,322,"Gym, Parking, Restaurant, Pool, Spa",Boutique Hotel,3.2,1988,Deluxe Suite,Breakfast Only,9 km from Airport,Thailand
Golden Sands Resort,Bali,178,"Gym, Restaurant, Parking, Free WiFi",Boutique Hotel,3.9,383,Suite,Half Board,14 km from Shopping Mall,Indonesia
Ocean View Retreat,Dubai,190,"Pet-friendly, Beach Access, Free WiFi",Mountain Lodge,4.4,521,Suite,All Inclusive,13 km from Shopping Mall,UAE
Golden Sands Resort,Cape Town,398,"Bar, Free WiFi, Parking, Gym, Restaurant",Luxury Resort,3.9,1503,Deluxe Suite,All Inclusive,7 km from Airport,South Africa
Coastal Breeze,Phuket,348,"Gym, Free WiFi, Bar, Parking",Beach Resort,3.4,1033,Single,Breakfast Only,10 km from Beach,Thailand
Sunset Paradise,Sydney,241,"Restaurant, Gym, Bar, Pet-friendly, Pool",Boutique Hotel,4.9,178,Suite,All Inclusive,1 km from Shopping Mall,Australia
Mountain Escape,Phuket,190,"Gym, Bar, Pet-friendly",Mountain Lodge,3.1,165,Single,All Inclusive,3 km from Beach,Thailand
Ocean View Retreat,Dubai,122,"Restaurant, Pool, Beach Access, Pet-friendly",City Hotel,3.1,1440,Family Room,Breakfast Only,11 km from Beach,UAE
Golden Sands Resort,Cape Town,309,"Gym, Pool, Airport Shuttle, Parking, Beach Access",Beach Resort,3.1,1357,Single,Full Board,20 km from City Center,South Africa
Mountain Escape,Sydney,348,"Beach Access, Airport Shuttle, Parking, Spa",Mountain Lodge,4.8,1506,Single,Half Board,11 km from City Center,Australia
Skyline Suites,Tokyo,378,"Free WiFi, Restaurant, Airport Shuttle, Gym",Boutique Hotel,4.5,847,Double,Half Board,11 km from Shopping Mall,Japan
Skyline Suites,Dubai,111,"Parking, Pet-friendly, Gym, Beach Access, Pool, Free WiFi",Beach Resort,4.3,1386,Single,Half Board,3 km from Shopping Mall,UAE
Ocean View Retreat,Tokyo,301,"Beach Access, Free WiFi, Pool, Spa, Bar, Airport Shuttle",Mountain Lodge,3.7,525,Deluxe Suite,Breakfast Only,2 km from Beach,Japan
Riverbend Hotel,Paris,297,"Pet-friendly, Gym, Bar, Beach Access, Restaurant, Spa",City Hotel,4.0,194,Double,Half Board,1 km from Shopping Mall,France
Sunset Paradise,Rome,249,"Beach Access, Gym, Pet-friendly",Beach Resort,3.1,285,Single,All Inclusive,14 km from City Center,Italy
Riverbend Hotel,Paris,155,"Spa, Pet-friendly, Pool",Boutique Hotel,3.7,444,Suite,All Inclusive,13 km from Beach,France
Riverbend Hotel,Tokyo,402,"Pool, Bar, Pet-friendly, Beach Access, Restaurant, Parking",Boutique Hotel,4.3,1852,Double,Breakfast Only,19 km from City Center,Japan
Coastal Breeze,New York,59,"Spa, Airport Shuttle, Restaurant, Free WiFi",Boutique Hotel,3.1,309,Double,Half Board,4 km from City Center,USA
Palm Grove Lodge,Paris,468,"Parking, Bar, Restaurant, Free WiFi, Airport Shuttle, Pet-friendly",Luxury Resort,3.3,1562,Single,Half Board,1 km from Beach,France
Riverbend Hotel,Sydney,107,"Parking, Pool, Pet-friendly, Airport Shuttle",Luxury Resort,4.6,611,Deluxe Suite,Half Board,20 km from Airport,Australia
Riverbend Hotel,Cape Town,362,"Restaurant, Spa, Free WiFi, Airport Shuttle, Pet-friendly, Pool",Boutique Hotel,3.7,1512,Single,Breakfast Only,10 km from Airport,South Africa
Palm Grove Lodge,Cape Town,401,"Pet-friendly, Pool, Gym",Beach Resort,3.9,737,Double,Full Board,20 km from Airport,South Africa
Palm Grove Lodge,Rome,443,"Parking, Pet-friendly, Airport Shuttle, Beach Access, Free WiFi",Luxury Resort,3.3,544,Family Room,All Inclusive,13 km from Shopping Mall,Italy
Skyline Suites,Bali,304,"Beach Access, Pool, Airport Shuttle",City Hotel,3.4,235,Deluxe Suite,All Inclusive,19 km from Museum,Indonesia
Sunset Paradise,Bali,109,"Gym, Beach Access, Free WiFi, Parking",Beach Resort,4.2,1519,Double,Half Board,8 km from Museum,Indonesia
Skyline Suites,Paris,436,"Spa, Parking, Restaurant, Free WiFi, Beach Access, Bar",Beach Resort,4.2,347,Suite,All Inclusive,11 km from Beach,France
Palm Grove Lodge,Sydney,419,"Restaurant, Spa, Beach Access, Gym",Luxury Resort,3.4,1732,Double,Half Board,17 km from Beach,Australia
Skyline Suites,Paris,445,"Pet-friendly, Spa, Gym, Free WiFi",Luxury Resort,3.5,1403,Double,All Inclusive,7 km from Museum,France
Sunset Paradise,Cape Town,119,"Beach Access, Spa, Restaurant, Bar",City Hotel,3.9,805,Single,Breakfast Only,15 km from Shopping Mall,South Africa
Sunset Paradise,New York,50,"Bar, Gym, Beach Access, Restaurant",City Hotel,4.3,174,Family Room,Breakfast Only,8 km from Museum,USA
Coastal Breeze,Dubai,480,"Pool, Free WiFi, Pet-friendly, Airport Shuttle, Bar, Gym",City Hotel,4.3,1088,Double,All Inclusive,7 km from Beach,UAE
Skyline Suites,Tokyo,500,"Bar, Airport Shuttle, Parking",City Hotel,3.6,116,Family Room,Breakfast Only,17 km from Shopping Mall,Japan
Golden Sands Resort,Bali,221,"Airport Shuttle, Pet-friendly, Restaurant, Free WiFi, Beach Access, Spa",Luxury Resort,4.7,1737,Suite,All Inclusive,14 km from Beach,Indonesia
Riverbend Hotel,New York,405,"Restaurant, Beach Access, Gym, Airport Shuttle",Boutique Hotel,4.0,550,Double,Breakfast Only,16 km from Shopping Mall,USA
Golden Sands Resort,Tokyo,135,"Spa, Pet-friendly, Restaurant",Luxury Resort,3.4,1101,Suite,Half Board,9 km from Shopping Mall,Japan
Coastal Breeze,New York,143,"Spa, Airport Shuttle, Pet-friendly, Free WiFi",Boutique Hotel,3.0,1724,Suite,Full Board,16 km from Museum,USA
City Lights Inn,Tokyo,336,"Spa, Parking, Pool, Gym, Beach Access, Restaurant",Mountain Lodge,3.2,1755,Deluxe Suite,Half Board,17 km from Beach,Japan
Golden Sands Resort,Cape Town,354,"Beach Access, Airport Shuttle, Spa, Gym, Pet-friendly",Luxury Resort,3.2,597,Family Room,Half Board,8 km from Shopping Mall,South Africa
Sunset Paradise,Cape Town,97,"Pet-friendly, Bar, Gym, Beach Access, Pool",Boutique Hotel,4.7,1752,Suite,Full Board,12 km from City Center,South Africa
Skyline Suites,Cape Town,254,"Beach Access, Free WiFi, Restaurant, Bar",Boutique Hotel,4.4,1686,Family Room,Breakfast Only,20 km from Airport,South Africa
Palm Grove Lodge,Phuket,348,"Pool, Restaurant, Pet-friendly, Free WiFi, Gym",Luxury Resort,4.4,1932,Double,All Inclusive,10 km from Airport,Thailand
Lakeside Haven,Bali,455,"Pet-friendly, Bar, Parking",Beach Resort,4.4,476,Family Room,Full Board,20 km from Beach,Indonesia
Lakeside Haven,Bali,199,"Airport Shuttle, Pool, Pet-friendly, Restaurant",Luxury Resort,4.8,305,Double,All Inclusive,5 km from Museum,Indonesia
Sunset Paradise,Bali,57,"Airport Shuttle, Bar, Restaurant, Pool, Parking, Beach Access",Boutique Hotel,5.0,1471,Deluxe Suite,Breakfast Only,12 km from Shopping Mall,Indonesia
Ocean View Retreat,Phuket,491,"Bar, Pool, Beach Access",Luxury Resort,3.6,1173,Family Room,Full Board,17 km from Museum,Thailand
Riverbend Hotel,Sydney,52,"Bar, Restaurant, Beach Access",Mountain Lodge,4.4,1053,Suite,All Inclusive,9 km from Shopping Mall,Australia
Mountain Escape,Phuket,451,"Airport Shuttle, Gym, Beach Access",Boutique Hotel,4.5,1494,Deluxe Suite,Half Board,4 km from City Center,Thailand
Sunset Paradise,Phuket,313,"Free WiFi, Airport Shuttle, Spa, Bar",Mountain Lodge,4.5,723,Family Room,Breakfast Only,20 km from Museum,Thailand
Lakeside Haven,Tokyo,57,"Pet-friendly, Bar, Gym, Free WiFi",Mountain Lodge,3.6,1203,Single,All Inclusive,11 km from Airport,Japan
City Lights Inn,Bali,136,"Airport Shuttle, Gym, Beach Access, Parking, Restaurant",Beach Resort,3.5,1683,Single,All Inclusive,10 km from Shopping Mall,Indonesia
Skyline Suites,New York,177,"Gym, Bar, Spa, Airport Shuttle, Pool, Beach Access",Luxury Resort,4.2,226,Family Room,Breakfast Only,14 km from Shopping Mall,USA
Riverbend Hotel,New York,184,"Gym, Restaurant, Airport Shuttle, Spa, Pool, Parking",Beach Resort,4.4,291,Suite,Half Board,15 km from Shopping Mall,USA
Coastal Breeze,Bali,445,"Beach Access, Spa, Parking",City Hotel,3.8,262,Family Room,All Inclusive,14 km from Shopping Mall,Indonesia
Palm Grove Lodge,Bali,205,"Bar, Parking, Airport Shuttle, Pool, Gym",Luxury Resort,3.4,356,Single,All Inclusive,6 km from Museum,Indonesia
Riverbend Hotel,Tokyo,208,"Pool, Spa, Restaurant, Bar, Parking",Beach Resort,3.1,899,Single,Breakfast Only,19 km from Shopping Mall,Japan
Palm Grove Lodge,Dubai,380,"Free WiFi, Spa, Beach Access, Parking, Airport Shuttle, Gym",Mountain Lodge,3.1,465,Double,Breakfast Only,9 km from Museum,UAE
Sunset Paradise,New York,407,"Airport Shuttle, Free WiFi, Bar, Restaurant",Mountain Lodge,4.7,940,Deluxe Suite,Half Board,6 km from Airport,USA
Ocean View Retreat,Dubai,399,"Free WiFi, Airport Shuttle, Restaurant",Boutique Hotel,4.9,1816,Family Room,Breakfast Only,16 km from City Center,UAE
Golden Sands Resort,Bali,170,"Pool, Beach Access, Airport Shuttle",City Hotel,4.2,1286,Suite,Full Board,13 km from Beach,Indonesia
Sunset Paradise,Sydney,381,"Restaurant, Airport Shuttle, Free WiFi, Parking, Pet-friendly, Beach Access",Luxury Resort,4.9,870,Single,Full Board,19 km from City Center,Australia
Sunset Paradise,Phuket,53,"Free WiFi, Beach Access, Airport Shuttle",Boutique Hotel,4.7,1643,Single,Full Board,12 km from Museum,Thailand
Skyline Suites,Dubai,207,"Free WiFi, Pool, Beach Access, Spa",Mountain Lodge,4.3,398,Suite,All Inclusive,15 km from Museum,UAE
